Country,Country_Code,Indicator Name,Indicator Code,2018,2019,2020,GDP_per_Capita_2021,,,
Afghanistan,Afg,GDP per capita (current US$),NY.GDP.PCAP.CD,502.06,500.52,516.87,368.75,,,Dataset retrieved from URL: 
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,1564.73,1512.27,1363.54,1549.77,,,https://data.worldbank.org/indicator/NY.GDP.PCAP.CD?end=2021&name_desc=false&start=1960
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,1731.31,1749.3,1683.44,1757.03,,,
Albania,Alb,GDP per capita (current US$),NY.GDP.PCAP.CD,5287.66,5396.22,5332.16,6492.87,,,
Algeria,Alg,GDP per capita (current US$),NY.GDP.PCAP.CD,4171.8,4022.15,3337.25,3690.63,,,
American Samoa,Ame,GDP per capita (current US$),NY.GDP.PCAP.CD,13195.94,13672.58,15501.53,15743.31,,,
Andorra,And,GDP per capita (current US$),NY.GDP.PCAP.CD,42903.44,41327.5,37207.49,42137.33,,,
Angola,Ago,GDP per capita (current US$),NY.GDP.PCAP.CD,2487.5,2142.24,1603.99,1953.53,,,
Antigua and Barbuda,Ant,GDP per capita (current US$),NY.GDP.PCAP.CD,17527.17,18319.46,14787.64,15781.4,,,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,6474.3,6384.07,5545.46,6271.32,,,
Argentina,Arg,GDP per capita (current US$),NY.GDP.PCAP.CD,11795.16,9963.67,8496.42,10636.12,,,
Armenia,Arm,GDP per capita (current US$),NY.GDP.PCAP.CD,4391.92,4828.51,4505.87,4966.51,,,
Aruba,Aru,GDP per capita (current US$),NY.GDP.PCAP.CD,30220.59,31650.76,24487.86,29342.1,,,
Australia,Aus,GDP per capita (current US$),NY.GDP.PCAP.CD,57207.87,54941.43,51720.37,60443.11,,,
Austria,Aut,GDP per capita (current US$),NY.GDP.PCAP.CD,51466.56,50070.4,48809.23,53637.71,,,
Azerbaijan,Aze,GDP per capita (current US$),NY.GDP.PCAP.CD,4739.84,4805.75,4229.91,5388,,,
Bahamas,Bhs,GDP per capita (current US$),NY.GDP.PCAP.CD,31738.27,32610.49,23862.71,27478.39,,,
Bahrain,Bah,GDP per capita (current US$),NY.GDP.PCAP.CD,25415.85,25869.11,23501.92,26562.97,,,
Bangladesh,Ban,GDP per capita (current US$),NY.GDP.PCAP.CD,1963.41,2122.08,2233.31,2457.92,,,
Barbados,Bar,GDP per capita (current US$),NY.GDP.PCAP.CD,18224.89,19002.96,16643.81,17225.46,,,
Belarus,Blr,GDP per capita (current US$),NY.GDP.PCAP.CD,6360.06,6837.72,6542.8,7302.26,,,
Belgium,Bel,GDP per capita (current US$),NY.GDP.PCAP.CD,47544.98,46638.68,45517.79,51247.01,,,
Belize,Blz,GDP per capita (current US$),NY.GDP.PCAP.CD,6059.16,6210.57,5266.88,6228.27,,,
Benin,Ben,GDP per capita (current US$),NY.GDP.PCAP.CD,1194.44,1170.97,1237.95,1319.15,,,
Bermuda,Ber,GDP per capita (current US$),NY.GDP.PCAP.CD,113050.74,116153.17,107791.89,114090.33,,,
Bhutan,Bhu,GDP per capita (current US$),NY.GDP.PCAP.CD,3210.71,3303.96,3009.92,3266.36,,,
Bolivia,Bol,GDP per capita (current US$),NY.GDP.PCAP.CD,3471.01,3472.38,3068.81,3345.2,,,
Bosnia and Herzegovina,Bos,GDP per capita (current US$),NY.GDP.PCAP.CD,5936.1,6011.37,6012.06,7143.31,,,
Botswana,Bot,GDP per capita (current US$),NY.GDP.PCAP.CD,6947.8,6679.17,5863.2,6805.22,,,
Brazil,Bra,GDP per capita (current US$),NY.GDP.PCAP.CD,9121.08,8845.26,6794.49,7507.16,,,
British Virgin Islands,Bri,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,49444,,,
